date,MU,HYNIX_USD,USDKRW,rMU,rHY,z,pos_leadlag_ls,pos_leadlag_lf,pos_meanrev,ret_leadlag_ls,ret_leadlag_lf,ret_meanrev,ret_buyhold,eq_leadlag_ls,eq_leadlag_lf,eq_meanrev,eq_buyhold
2024-07-08,129.89320373535156,167.2531588356015,1376.5699462890625,-0.006064498689443809,-0.007979863976582457,2.5062660762548585,-1.0,0.0,-1.0,0.007479863976582457,-0.0,0.0013330799806065856,-0.007979863976582457,1.6026078448402734,1.334276606706687,1.1126650168032208,1.8836808995696588
2024-07-09,130.34043884277344,170.07105405894052,1382.75,0.0034371847029683877,0.01670772904038298,2.5556670655125,0.0,0.0,-1.0,-0.0005,0.0,-0.012940521651143911,0.01670772904038298,1.6018065409178535,1.334276606706687,1.0982665510628085,1.9151529296382135
2024-07-10,135.5584259033203,170.46829021478112,1382.4200439453125,0.03925294705707838,0.002332983502163266,1.7204847487056654,0.0,0.0,-1.0,0.0,0.0,0.04068885122063476,0.002332983502163266,1.6018065409178535,1.334276606706687,1.1429537553596028,1.919620949827179
2024-07-11,129.4359893798828,171.82396821594403,1382.989990234375,-0.046216266428591446,0.007921213853583353,2.5793824183880827,1.0,1.0,-1.0,0.007421213853583353,0.007421213853583353,-0.05857495388753359,0.007921213853583353,1.6136938898100734,1.344178558744891,1.0760052918438308,1.934826677888579
2024-07-12,132.7357635498047,167.54005628193812,1371.27001953125,0.02517394337354073,-0.025248047478583224,1.600932735183333,-1.0,0.0,-1.0,0.024248047478583223,-0.0005,0.05283907725687463,-0.025248047478583224,1.652822815866088,1.3435064694655185,1.1328604185883728,1.8859760820624187
2024-07-15,130.07208251953125,165.04108971814054,1374.1099853515625,-0.02027163410116728,-0.015027993164056674,1.6519510690466115,0.0,0.0,-1.0,-0.0005,-0.0,-0.007190030124571468,-0.015027993164056674,1.651996404458155,1.3435064694655185,1.1247151180517878,1.8576336463936103
2024-07-16,126.71269226074219,166.03622630696552,1383.68994140625,-0.026166519701000368,0.006011523819627662,2.1034623022623307,0.0,0.0,-1.0,0.0,0.0,-0.03469043254488415,0.006011523819627662,1.651996404458155,1.3435064694655185,1.085698264116801,1.8688008553070472
2024-07-17,118.77140045166016,157.24803243907454,1382.6400146484375,-0.06472161699844037,-0.05438161212138759,2.2244859103399763,0.0,0.0,-1.0,-0.0,-0.0,-0.016554277238721632,-0.05438161212138759,1.651996404458155,1.3435064694655185,1.0677253140550127,1.7671724520616219
2024-07-18,116.73390197753906,151.9814760196676,1378.6500244140625,-0.017303638526505516,-0.03406573806306579,1.9053787825312936,-1.0,0.0,-1.0,0.033565738063065786,-0.0,0.015100683650517702,-0.03406573806306579,1.707446883051324,1.3435064694655185,1.083848696248207,1.706972418197425
2024-07-19,113.5633544921875,149.1230320783977,1385.239990234375,-0.027536131931157115,-0.018986961253745882,1.9673601796259887,0.0,0.0,-1.0,-0.0005,-0.0,-0.011193063576613368,-0.018986961253745882,1.7065931596097985,1.3435064694655185,1.0717171088836714,1.6745621990318977
