date,regime,n_holdings,turnover,nav,holdings
2025-03-21,RISK_ON,10,0.75,139673746.0,"064350(현대로템),042660(042660),087010(087010),012450(한화에어로스페이스),272210(272210),329180(329180),122870(122870),010140(010140),047810(047810),376300(376300)"
2025-03-28,RISK_OFF,10,0.5,134174787.0,"064350(현대로템),012450(한화에어로스페이스),042660(042660),087010(087010),329180(329180),272210(272210),122870(122870),041510(041510),376300(376300),010140(010140)"
2025-04-04,RISK_OFF,10,0.15,138260718.0,"087010(087010),012450(한화에어로스페이스),064350(현대로템),042660(042660),272210(272210),376300(376300),329180(329180),041510(041510),122870(122870),047810(047810)"
2025-04-11,RISK_OFF,10,0.15,140224324.0,"087010(087010),012450(한화에어로스페이스),042660(042660),064350(현대로템),329180(329180),272210(272210),047810(047810),041510(041510),010620(010620),010140(010140)"
2025-04-18,RISK_OFF,10,0.2,144449335.0,"087010(087010),012450(한화에어로스페이스),042660(042660),064350(현대로템),329180(329180),272210(272210),376300(376300),041510(041510),122870(122870),047810(047810)"
2025-04-25,RISK_OFF,10,0.2,146307251.0,"087010(087010),042660(042660),012450(한화에어로스페이스),329180(329180),064350(현대로템),272210(272210),010620(010620),041510(041510),376300(376300),009540(009540)"
2025-05-02,RISK_OFF,10,0.05,147314172.0,"087010(087010),012450(한화에어로스페이스),329180(329180),042660(042660),272210(272210),064350(현대로템),010620(010620),376300(376300),041510(041510),009540(009540)"
2025-05-09,RISK_ON,10,0.7,149275399.0,"087010(087010),012450(한화에어로스페이스),272210(272210),064350(현대로템),329180(329180),042660(042660),079550(079550),010620(010620),009540(009540),122870(122870)"
2025-05-16,RISK_ON,10,0.1,150279085.0,"087010(087010),012450(한화에어로스페이스),042660(042660),329180(329180),272210(272210),064350(현대로템),010620(010620),079550(079550),009540(009540),122870(122870)"
2025-05-23,RISK_ON,10,0.2,153140600.0,"087010(087010),012450(한화에어로스페이스),064350(현대로템),329180(329180),042660(042660),079550(079550),010620(010620),272210(272210),122870(122870),006800(006800)"
2025-05-30,RISK_ON,10,0.2,161091833.0,"087010(087010),064350(현대로템),012450(한화에어로스페이스),329180(329180),079550(079550),010620(010620),042660(042660),006800(006800),272210(272210),009540(009540)"
2025-06-13,RISK_ON,10,0.1,176355995.0,"064350(현대로템),087010(087010),012450(한화에어로스페이스),079550(079550),006800(006800),272210(272210),329180(329180),042660(042660),009540(009540),010620(010620)"
2025-06-20,RISK_ON,10,0.0,189571796.0,"064350(현대로템),087010(087010),079550(079550),012450(한화에어로스페이스),272210(272210),006800(006800),329180(329180),042660(042660),009540(009540),010620(010620)"
2025-06-27,RISK_ON,10,0.3,184863209.0,"064350(현대로템),087010(087010),012450(한화에어로스페이스),079550(079550),272210(272210),006800(006800),329180(329180),009540(009540),010620(010620),042660(042660)"
2025-07-04,RISK_ON,10,0.7,168876178.0,"064350(현대로템),087010(087010),006800(006800),079550(079550),012450(한화에어로스페이스),272210(272210),071050(071050),122870(122870),329180(329180),042660(042660)"
2025-07-11,RISK_ON,10,0.2,180897103.0,"064350(현대로템),087010(087010),006800(006800),079550(079550),071050(071050),272210(272210),012450(한화에어로스페이스),042660(042660),376300(376300),122870(122870)"
2025-07-18,RISK_ON,10,0.0,191398880.0,"064350(현대로템),087010(087010),079550(079550),006800(006800),012450(한화에어로스페이스),272210(272210),071050(071050),042660(042660),122870(122870),376300(376300)"
